"model_name","model","p","d","q","P","D","Q","period","parameter_count","AIC","LjungBox_p","RMSE","MAE","has_warning","warning_text"
"tlb_s407_SARIMA_3_2_0_1_1_0_12","SARIMA(3,2,0)(1,1,0)[12]",3,2,0,1,1,0,12,4,750.348779032963,0.07025283359281,10052.7003018236,9704.69396168832,FALSE,""
"tlb_s356_SARIMA_2_2_0_1_0_2_12","SARIMA(2,2,0)(1,0,2)[12]",2,2,0,1,0,2,12,5,964.209695588981,0.00167506610125245,10247.8490939043,7686.40188506245,FALSE,""
"tlb_s251_SARIMA_0_2_1_2_1_2_12","SARIMA(0,2,1)(2,1,2)[12]",0,2,1,2,1,2,12,5,744.104796817491,0.135392428248825,10346.2731644505,7562.17577170496,FALSE,""
"tlb_s232_SARIMA_0_2_0_2_1_1_12","SARIMA(0,2,0)(2,1,1)[12]",0,2,0,2,1,1,12,3,755.005522937656,0.0123665270956853,10386.5574958553,7570.75874247555,FALSE,""
"tlb_s406_SARIMA_3_2_0_1_0_2_12","SARIMA(3,2,0)(1,0,2)[12]",3,2,0,1,0,2,12,6,966.160557359568,0.0010755606342322,10490.3864610261,7876.03570528609,FALSE,""
"tlb_s374_SARIMA_2_2_1_1_0_2_12","SARIMA(2,2,1)(1,0,2)[12]",2,2,1,1,0,2,12,6,965.878444557017,0.00168056047685994,10683.9324743525,8001.02369467197,FALSE,""
"tlb_s223_SARIMA_0_2_0_1_0_1_12","SARIMA(0,2,0)(1,0,1)[12]",0,2,0,1,0,1,12,2,974.799896357239,0.0243998682276783,10757.4275222495,8076.13197961725,FALSE,""
"tlb_s228_SARIMA_0_2_0_2_0_0_12","SARIMA(0,2,0)(2,0,0)[12]",0,2,0,2,0,0,12,2,974.793350085471,0.0245323896769406,11065.2644499744,8306.86082635878,FALSE,""
"tlb_s375_SARIMA_2_2_1_1_1_0_12","SARIMA(2,2,1)(1,1,0)[12]",2,2,1,1,1,0,12,4,745.883615167657,0.261599488820284,11214.0017475766,10840.7390907794,FALSE,""
"tlb_s422_SARIMA_3_2_1_1_1_0_12","SARIMA(3,2,1)(1,1,0)[12]",3,2,1,1,1,0,12,5,747.884677143987,0.216683312277846,11395.2687679133,11010.0781995371,FALSE,""
